dataset,image_name,output_filename,house_id,confidence,model,method,height_m,floors,distance_m,is_top_clipped
august_test,Screenshot 2026-08-29 005441.png,aug_Screenshot 2026-08-29 005441.png,3,0.85,M2,ref:bicycle,4.31,1,6.85,False
august_test,Screenshot 2026-08-29 005457.png,aug_Screenshot 2026-08-29 005457.png,1,0.43,M1,ref:car(SUV),7.00,2,3.32,False
august_test,Screenshot 2026-08-29 005457.png,aug_Screenshot 2026-08-29 005457.png,2,1.00,M1,ref:car(SUV),7.37,2,3.32,False
august_test,Screenshot 2026-08-29 005457.png,aug_Screenshot 2026-08-29 005457.png,3,1.00,M1,ref:car(SUV),7.01,2,2.67,True
august_test,Screenshot 2026-08-29 005514.png,aug_Screenshot 2026-08-29 005514.png,1,0.99,M1,fallback,7.23,2,9.11,False
august_test,Screenshot 2026-08-29 005514.png,aug_Screenshot 2026-08-29 005514.png,2,0.96,M2,ref:car(SUV),7.37,2,2.10,True
august_test,Screenshot 2026-08-29 005613.png,aug_Screenshot 2026-08-29 005613.png,1,0.96,M1,fallback,8.31,3,8.08,False
august_test,Screenshot 2026-08-29 005613.png,aug_Screenshot 2026-08-29 005613.png,2,1.00,M2,ref:car(SUV),6.49,2,2.25,False
august_test,Screenshot 2026-08-29 005613.png,aug_Screenshot 2026-08-29 005613.png,3,0.96,M1,ref:car(SUV),4.70,2,2.22,False
august_test,Screenshot 2026-08-29 005641.png,aug_Screenshot 2026-08-29 005641.png,1,1.00,M1,ref:car(SUV),8.49,3,5.43,False
august_test,Screenshot 2026-08-29 005710.png,aug_Screenshot 2026-08-29 005710.png,1,0.88,M2,fallback,7.15,2,8.24,False
august_test,Screenshot 2026-08-29 005710.png,aug_Screenshot 2026-08-29 005710.png,2,1.00,M1,ref:car(sedan),6.75,2,2.13,False
august_test,Screenshot 2026-08-29 005710.png,aug_Screenshot 2026-08-29 005710.png,3,0.88,M1,ref:car(sedan),3.78,1,2.13,False
august_test,Screenshot 2026-08-29 005726.png,aug_Screenshot 2026-08-29 005726.png,1,1.00,M1,ref:car(SUV),6.75,2,2.62,False
august_test,Screenshot 2026-08-29 005726.png,aug_Screenshot 2026-08-29 005726.png,2,0.96,M1,ref:car(SUV),4.97,2,2.39,False
august_test,Screenshot 2026-08-29 005803.png,aug_Screenshot 2026-08-29 005803.png,1,0.52,M1,ref:car(sedan),5.68,2,2.19,True
august_test,Screenshot 2026-08-29 005803.png,aug_Screenshot 2026-08-29 005803.png,2,0.98,M1,ref:car(sedan),6.30,2,2.19,True
august_test,Screenshot 2026-08-29 005803.png,aug_Screenshot 2026-08-29 005803.png,3,0.96,M2,ref:car(sedan),7.01,2,2.19,True
august_test,Screenshot 2026-08-29 005815.png,aug_Screenshot 2026-08-29 005815.png,1,1.00,M1,fallback,5.29,2,8.14,False
august_test,Screenshot 2026-08-29 005815.png,aug_Screenshot 2026-08-29 005815.png,2,0.99,M1,fallback,3.69,1,10.77,False
august_test,Screenshot 2026-08-29 005815.png,aug_Screenshot 2026-08-29 005815.png,3,0.99,M2,fallback,7.62,3,6.78,True
august_test,Screenshot 2026-08-29 005848.png,aug_Screenshot 2026-08-29 005848.png,1,1.00,M1,ref:car(SUV),7.27,2,6.86,False
august_test,Screenshot 2026-08-29 005848.png,aug_Screenshot 2026-08-29 005848.png,2,1.00,M1,ref:car(SUV),7.40,2,6.29,False
august_test,Screenshot 2026-08-29 005848.png,aug_Screenshot 2026-08-29 005848.png,3,1.00,M1,ref:car(SUV),8.84,3,10.42,False
august_test,Screenshot 2026-08-29 005848.png,aug_Screenshot 2026-08-29 005848.png,4,0.51,M2,ref:car(SUV),7.35,2,11.29,False
august_test,Screenshot 2026-08-29 010058.png,aug_Screenshot 2026-08-29 010058.png,1,0.66,M2,ref:car(sedan),7.16,2,7.72,True
august_test,Screenshot 2026-08-29 010058.png,aug_Screenshot 2026-08-29 010058.png,2,1.00,M1,ref:person,8.19,3,10.03,False
august_test,Screenshot 2026-08-29 010110.png,aug_Screenshot 2026-08-29 010110.png,1,0.91,M2,ref:car(SUV),6.45,2,11.05,False
august_test,Screenshot 2026-08-29 010110.png,aug_Screenshot 2026-08-29 010110.png,2,0.99,M1,ref:car(SUV),9.66,3,10.19,True
august_test,Screenshot 2026-08-29 010110.png,aug_Screenshot 2026-08-29 010110.png,3,0.77,M2,ref:car(sedan),5.62,2,4.16,False
august_test,Screenshot 2026-08-29 010120.png,aug_Screenshot 2026-08-29 010120.png,1,0.42,M2,ref:car(SUV),5.89,2,10.27,False
august_test,Screenshot 2026-08-29 010120.png,aug_Screenshot 2026-08-29 010120.png,2,1.00,M1,ref:car(SUV),6.16,2,10.59,False
august_test,Screenshot 2026-08-29 010120.png,aug_Screenshot 2026-08-29 010120.png,3,0.98,M1,ref:car(SUV),9.35,3,12.11,False
august_test,dfk.JPG,aug_dfk.JPG,1,1.00,M1,fallback,10.62,4,5.88,False
august_test,dfk.JPG,aug_dfk.JPG,2,0.90,M2,fallback,11.38,4,6.45,False
august_test,djksbbjkvd.JPG,aug_djksbbjkvd.JPG,1,1.00,M2,fallback,16.05,5,9.85,False
august_test,dlankl.JPG,aug_dlankl.JPG,1,1.00,M2,fallback,7.05,2,5.93,False
august_test,dlkan.JPG,aug_dlkan.JPG,1,0.85,M2,fallback,5.31,2,7.84,False
august_test,dlkan.JPG,aug_dlkan.JPG,2,1.00,M2,fallback,7.08,2,6.07,False
august_test,dlkan.JPG,aug_dlkan.JPG,3,0.82,M1,fallback,6.74,2,7.16,False
august_test,dnlakkld.JPG,aug_dnlakkld.JPG,1,0.59,M2,fallback,3.97,1,7.81,False
august_test,dwfrf.JPG,aug_dwfrf.JPG,1,0.44,M2,ref:car(sedan),5.50,2,2.09,False
august_test,edas.JPG,aug_edas.JPG,1,1.00,M2,fallback,10.82,4,6.94,False
august_test,edas.JPG,aug_edas.JPG,2,0.61,M2,fallback,9.56,3,7.69,False
august_test,edfw.JPG,aug_edfw.JPG,1,0.98,M1,fallback,6.26,2,6.02,False
august_test,edfw.JPG,aug_edfw.JPG,2,0.99,M2,fallback,5.81,2,5.93,False
august_test,ef.JPG,aug_ef.JPG,1,0.99,M1,fallback,8.78,3,6.72,False
august_test,efjkqn_kle.JPG,aug_efjkqn_kle.JPG,1,0.96,M2,ref:car(sedan),10.15,3,2.99,False
august_test,efwnl_k.JPG,aug_efwnl_k.JPG,1,0.94,M2,fallback,6.64,2,6.59,False
august_test,egnktl_n.JPG,aug_egnktl_n.JPG,1,0.98,M2,ref:car(sedan),34.05,11,10.37,False
august_test,"ejk,bgje.JPG","aug_ejk,bgje.JPG",1,0.98,M1,fallback,9.70,3,5.72,True
august_test,ejkf.JPG,aug_ejkf.JPG,1,1.00,M2,fallback,12.50,4,7.81,False
august_test,ekjbgrjksb.JPG,aug_ekjbgrjksb.JPG,1,0.99,M2,fallback,7.11,2,7.04,False
august_test,elgnkgkln.JPG,aug_elgnkgkln.JPG,1,1.00,M1,ref:person,4.51,2,3.57,False
august_test,enakrbgj.JPG,aug_enakrbgj.JPG,1,0.97,M1,ref:car(sedan),11.69,4,2.05,True
august_test,erf.JPG,aug_erf.JPG,1,1.00,M1,fallback,5.26,2,5.75,False
august_test,etgmkne_.JPG,aug_etgmkne_.JPG,1,0.84,M1,fallback,6.29,2,6.16,False
